cause,age_interval,mortality_rate,age_interval_ll,age_interval_ul,cause_id,age_gap,age_interval_category
All causes,0-1,2844.7472588286537,NA,-1,NA,NA,1
All causes,1-4 ,242.7988139204733,NA,-4,NA,NA,2
All causes,10-14 ,46.60202910573208,NA,-14,NA,NA,3
All causes,15-19 ,80.59272980892578,NA,-19,NA,NA,4
All causes,20-24 ,115.37410681149136,NA,-24,NA,NA,5
All causes,25-29 ,130.48509611026628,NA,-29,NA,NA,6
All causes,30-34 ,162.07798510875395,NA,-34,NA,NA,7
All causes,35-39 ,216.4689427141948,NA,-39,NA,NA,8
All causes,40-44 ,291.8366341665578,NA,-44,NA,NA,9
All causes,45-49 ,393.1796357673506,NA,-49,NA,NA,10
All causes,5-9 ,57.69635397580357,NA,-9,NA,NA,11
All causes,50-54 ,584.0640126154597,NA,-54,NA,NA,12
All causes,55-59 ,871.3203843592948,NA,-59,NA,NA,13
All causes,60-64 ,1321.548712914638,NA,-64,NA,NA,14
All causes,65-69 ,1954.200259984971,NA,-69,NA,NA,15
All causes,70-74 ,3061.5556724194053,NA,-74,NA,NA,16
All causes,75-79 ,4782.573307812306,NA,-79,NA,NA,17
All causes,80-84 ,7980.907841556032,NA,-84,NA,NA,18
All causes,85-89 ,12461.741265379058,NA,-89,NA,NA,19
All causes,90-94 ,18291.93070657584,NA,-94,NA,NA,20
All causes,95+ ,28573.50119559159,95,95,NA,1,21
