measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,5,1-4 years,380,Neonatal disorders,3,Rate,2019,1.3144945828169368,1.6914688066050425,0.9904654901723213
1,Deaths,1,Global,3,Both,28,<1 year,380,Neonatal disorders,3,Rate,2019,1420.959800602117,1688.8393918040128,1211.9448096064732
1,Deaths,1,Global,3,Both,7,10-14 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,0.032588101111320086,0.03691364386713152,0.02868172823611585
1,Deaths,1,Global,3,Both,8,15-19 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,0.11909326422062388,0.13188950304143296,0.10707102114623619
1,Deaths,1,Global,3,Both,9,20-24 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,0.2370624176264449,0.26136238257559025,0.2154393540496512
1,Deaths,1,Global,3,Both,10,25-29 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,0.4631656898475256,0.5089907413382541,0.4191284260995595
1,Deaths,1,Global,3,Both,11,30-34 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,1.130982769539118,1.2368339257307157,1.0284147796822143
1,Deaths,1,Global,3,Both,12,35-39 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,2.4032963524970836,2.63324869612061,2.198529341231143
1,Deaths,1,Global,3,Both,13,40-44 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,5.523243058895434,6.051798222166659,5.012502447568023
1,Deaths,1,Global,3,Both,14,45-49 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,12.389953093979903,13.538162632234814,11.262989530500352
1,Deaths,1,Global,3,Both,15,50-54 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,26.853183693171932,29.412807359734582,24.49343178904386
1,Deaths,1,Global,3,Both,16,55-59 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,49.55780206812896,53.76434755256958,45.56160889312156
1,Deaths,1,Global,3,Both,17,60-64 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,83.89928055228368,90.4156816218066,77.48493204533524
1,Deaths,1,Global,3,Both,18,65-69 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,126.6508865024524,136.75361593180654,117.02948933070543
1,Deaths,1,Global,3,Both,19,70-74 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,181.63058799233244,195.4293161747697,167.24767231045172
1,Deaths,1,Global,3,Both,20,75-79 years,426,"Tracheal, bronchus, and lung cancer",3,Rate,2019,224.32466568942755,241.25105042190827,206.07316454882562
